ID,Date,Source,Likes,Sentiments,department
987430696590434000,4/20/2018 20:39,Twitter Web Client,3,-1,detroitpolice
986631587931525000,4/18/2018 15:44,Twitter for iPhone,0,1,detroitpolice
986605143482396000,4/18/2018 13:59,Twitter for iPhone,1,-1,detroitpolice
986430249536811000,4/18/2018 2:24,Twitter for iPhone,0,1,detroitpolice
986427647608655000,4/18/2018 2:14,Twitter for iPhone,15,0,detroitpolice
986427375306067000,4/18/2018 2:13,Twitter for iPhone,16,0,detroitpolice
986214139180781000,4/17/2018 12:05,Twitter Web Client,0,-1,detroitpolice
986213940580544000,4/17/2018 12:05,Twitter Web Client,0,-1,detroitpolice
985943639770746000,4/16/2018 18:10,Twitter Web Client,11,0,detroitpolice
985843439878266000,4/16/2018 11:32,Twitter Web Client,0,-1,detroitpolice
984852746041004000,4/13/2018 17:56,Twitter Web Client,8,0,detroitpolice
984852745000837000,4/13/2018 17:56,Twitter Web Client,15,1,detroitpolice
984518155161628000,4/12/2018 19:46,Twitter for iPhone,8,1,detroitpolice
984437171925987000,4/12/2018 14:24,Twitter Web Client,8,0,detroitpolice
984423377451520000,4/12/2018 13:29,Twitter Web Client,0,1,detroitpolice
984148000216879000,4/11/2018 19:15,Twitter for iPhone,6,0,detroitpolice
984132560862277000,4/11/2018 18:14,Twitter Web Client,0,0,detroitpolice
983359529705451000,4/9/2018 15:02,Twitter Web Client,0,-1,detroitpolice
983350728419889000,4/9/2018 14:27,Twitter Web Client,16,0,detroitpolice
983316083624103000,4/9/2018 12:09,Twitter for iPhone,3,1,detroitpolice
983179198398451000,4/9/2018 3:06,Twitter for Android,27,-1,detroitpolice
982220147032141000,4/6/2018 11:35,Twitter for iPhone,16,-1,detroitpolice
981938845162844000,4/5/2018 16:57,Twitter for iPhone,13,0,detroitpolice
981936698476068000,4/5/2018 16:48,Twitter for iPhone,15,0,detroitpolice
981935444962234000,4/5/2018 16:43,Twitter for iPhone,10,0,detroitpolice
981934509955444000,4/5/2018 16:40,Twitter for iPhone,28,-1,detroitpolice
981559594710335000,4/4/2018 15:50,Twitter for iPhone,0,0,detroitpolice
981510438037999000,4/4/2018 12:34,Twitter for iPhone,0,0,detroitpolice
981188902563340000,4/3/2018 15:17,Twitter Web Client,10,1,detroitpolice
979416931265601000,3/29/2018 17:56,Twitter for iPhone,0,1,detroitpolice
979393967522570000,3/29/2018 16:24,Twitter for iPhone,0,-1,detroitpolice
979323795889586000,3/29/2018 11:46,Twitter for iPhone,0,-1,detroitpolice
979145103251034000,3/28/2018 23:55,Twitter for iPhone,21,1,detroitpolice
979011032625672000,3/28/2018 15:03,Twitter for iPhone,0,0,detroitpolice
978978638937935000,3/28/2018 12:54,Twitter Web Client,12,0,detroitpolice
978978637486665000,3/28/2018 12:54,Twitter Web Client,10,0,detroitpolice
978660042303000000,3/27/2018 15:48,Twitter Web Client,8,0,detroitpolice
978593867871195000,3/27/2018 11:25,Twitter for iPhone,1,0,detroitpolice
978588455671386000,3/27/2018 11:04,Twitter for iPhone,0,1,detroitpolice
978587443569061000,3/27/2018 11:00,Twitter for iPhone,0,0,detroitpolice
978356564770918000,3/26/2018 19:42,Twitter for iPhone,16,0,detroitpolice
978287172926234000,3/26/2018 15:06,Twitter for iPhone,0,1,detroitpolice
977199531505922000,3/23/2018 15:04,Twitter for iPhone,21,1,detroitpolice
977165865404727000,3/23/2018 12:51,Twitter for iPhone,5,0,detroitpolice
977164387155873000,3/23/2018 12:45,Twitter for iPhone,0,0,detroitpolice
976912096289021000,3/22/2018 20:02,Twitter Web Client,18,-1,detroitpolice
976903116892393000,3/22/2018 19:27,Twitter for iPhone,0,0,detroitpolice
976899881100107000,3/22/2018 19:14,Twitter for iPhone,9,1,detroitpolice
976897642025439000,3/22/2018 19:05,Twitter for iPhone,3,1,detroitpolice
976891285318627000,3/22/2018 18:40,Twitter for iPhone,7,0,detroitpolice
976890297035706000,3/22/2018 18:36,Twitter for iPhone,6,1,detroitpolice
976889692250615000,3/22/2018 18:33,Twitter for iPhone,13,-1,detroitpolice
976889522184249000,3/22/2018 18:33,Twitter for iPhone,9,1,detroitpolice
976888764734812000,3/22/2018 18:30,Twitter for iPhone,5,0,detroitpolice
976531836104007000,3/21/2018 18:51,Twitter Web Client,18,1,detroitpolice
976124073653751000,3/20/2018 15:51,Twitter for iPhone,7,1,detroitpolice
976110101949018000,3/20/2018 14:55,Twitter Web Client,0,1,detroitpolice
975735102549516000,3/19/2018 14:05,Twitter Web Client,7,1,detroitpolice
975497957289218000,3/18/2018 22:23,Google,7,0,detroitpolice
974799100251115000,3/17/2018 0:06,Twitter for iPhone,0,0,detroitpolice
974747021302255000,3/16/2018 20:39,Twitter Web Client,17,1,detroitpolice
974638500938240000,3/16/2018 13:28,Twitter Web Client,0,-1,detroitpolice
974065738016313000,3/14/2018 23:32,Twitter for iPhone,0,1,detroitpolice
973944260973211000,3/14/2018 15:29,Twitter Web Client,6,0,detroitpolice
973944258871857000,3/14/2018 15:29,Twitter Web Client,58,0,detroitpolice
973939978991489000,3/14/2018 15:12,Twitter Web Client,0,0,detroitpolice
973735461226270000,3/14/2018 1:39,Twitter for iPhone,0,1,detroitpolice
973657171572477000,3/13/2018 20:28,Twitter Web Client,11,-1,detroitpolice
973564720895725000,3/13/2018 14:21,Twitter for iPhone,25,0,detroitpolice
973273915144441000,3/12/2018 19:05,Twitter for iPhone,12,1,detroitpolice
973190305028689000,3/12/2018 13:33,Twitter for iPhone,0,0,detroitpolice
972553253098487000,3/10/2018 19:22,Twitter for iPhone,12,1,detroitpolice
972528744291274000,3/10/2018 17:44,Twitter for iPhone,6,1,detroitpolice
972495695088406000,3/10/2018 15:33,Twitter for iPhone,4,-1,detroitpolice
972144252716240000,3/9/2018 16:17,Twitter for iPhone,384,1,detroitpolice
972123399131713000,3/9/2018 14:54,Twitter for iPhone,13,1,detroitpolice
971830408756256000,3/8/2018 19:29,Twitter Web Client,3,0,detroitpolice
971830133123440000,3/8/2018 19:28,Twitter Web Client,7,1,detroitpolice
971828471428153000,3/8/2018 19:22,Twitter for iPhone,0,1,detroitpolice
971447750196973000,3/7/2018 18:09,Twitter for iPhone,0,0,detroitpolice
971223881393623000,3/7/2018 3:19,Twitter for iPhone,0,0,detroitpolice
971223841014976000,3/7/2018 3:19,Twitter for iPhone,0,1,detroitpolice
971223769024000000,3/7/2018 3:19,Twitter for iPhone,0,1,detroitpolice
971223712610639000,3/7/2018 3:19,Twitter for iPhone,22,-1,detroitpolice
971122389722501000,3/6/2018 20:36,Twitter Web Client,10,0,detroitpolice
971077751615737000,3/6/2018 17:39,Twitter Web Client,0,0,detroitpolice
970743243796303000,3/5/2018 19:29,Twitter Web Client,8,1,detroitpolice
969284829945716000,3/1/2018 18:54,Twitter Web Client,2,1,detroitpolice
969266679095185000,3/1/2018 17:42,Twitter for Android,8,0,detroitpolice
969215517096599000,3/1/2018 14:19,Twitter for Android,2,0,detroitpolice
968952617081720000,2/28/2018 20:54,Twitter for iPhone,0,1,detroitpolice
968939372304322000,2/28/2018 20:02,Twitter for iPhone,9,0,detroitpolice
968939035795345000,2/28/2018 20:00,Twitter for iPhone,84,1,detroitpolice
968908147384619000,2/28/2018 17:57,Twitter for iPhone,6,-1,detroitpolice
968901122772652000,2/28/2018 17:30,Twitter for iPhone,9,0,detroitpolice
968895998364913000,2/28/2018 17:09,Twitter for iPhone,6,1,detroitpolice
968890424688566000,2/28/2018 16:47,Twitter for iPhone,4,0,detroitpolice
968889484581441000,2/28/2018 16:43,Twitter for iPhone,5,0,detroitpolice
968886836142706000,2/28/2018 16:33,Twitter for iPhone,11,-1,detroitpolice
968266185321132000,2/26/2018 23:27,Twitter for iPhone,11,-1,detroitpolice
967146507869749000,2/23/2018 21:17,Twitter for Android,6,0,detroitpolice
966870715080298000,2/23/2018 3:01,Twitter for iPhone,41,-1,detroitpolice
966702946221281000,2/22/2018 15:55,Twitter Web Client,32,1,detroitpolice
966698527370903000,2/22/2018 15:37,Twitter Web Client,0,-1,detroitpolice
966681525445124000,2/22/2018 14:30,Twitter Web Client,6,0,detroitpolice
966405515231354000,2/21/2018 20:13,Google,10,1,detroitpolice
966395704670343000,2/21/2018 19:34,Twitter Web Client,18,1,detroitpolice
966349014714257000,2/21/2018 16:28,Twitter for iPhone,6,0,detroitpolice
966120499062468000,2/21/2018 1:20,Twitter for iPhone,7,1,detroitpolice
965993591754645000,2/20/2018 16:56,Twitter for iPhone,13,0,detroitpolice
965984982106886000,2/20/2018 16:22,Twitter for iPhone,14,0,detroitpolice
965980062184034000,2/20/2018 16:02,Twitter for iPhone,19,1,detroitpolice
965592436402806000,2/19/2018 14:22,Twitter Web Client,24,0,detroitpolice
964550687584636000,2/16/2018 17:22,Twitter Web Client,26,0,detroitpolice
964229832224755000,2/15/2018 20:08,Twitter for iPhone,118,0,detroitpolice
963883673681612000,2/14/2018 21:12,Twitter for iPhone,3,1,detroitpolice
963869133745147000,2/14/2018 20:14,Twitter for iPhone,0,0,detroitpolice
963845949079646000,2/14/2018 18:42,Twitter Web Client,9,1,detroitpolice
963845948140027000,2/14/2018 18:42,Twitter Web Client,14,1,detroitpolice
963845946915414000,2/14/2018 18:42,Twitter Web Client,5,1,detroitpolice
963845945199915000,2/14/2018 18:42,Twitter Web Client,5,0,detroitpolice
963845943694188000,2/14/2018 18:42,Twitter Web Client,35,1,detroitpolice
963761451344302000,2/14/2018 13:06,Twitter for Android,9,1,detroitpolice
962357618063953000,2/10/2018 16:08,Twitter for Android,0,0,detroitpolice
962357598002532000,2/10/2018 16:08,Twitter for Android,0,-1,detroitpolice
962357318561255000,2/10/2018 16:07,Twitter for Android,0,1,detroitpolice
962066513527160000,2/9/2018 20:51,Twitter for iPhone,32,1,detroitpolice
962005193175973000,2/9/2018 16:48,Twitter for Android,11,0,detroitpolice
961990803009818000,2/9/2018 15:50,Twitter for iPhone,87,0,detroitpolice
961896065485148000,2/9/2018 9:34,Twitter for Android,7,1,detroitpolice
961785330214072000,2/9/2018 2:14,Twitter for Android,9,0,detroitpolice
961267274060529000,2/7/2018 15:55,Twitter Web Client,16,0,detroitpolice
960736293540986000,2/6/2018 4:45,Twitter for Android,73,0,detroitpolice
960589337208524000,2/5/2018 19:01,Twitter Web Client,6,0,detroitpolice
959946104115793000,2/4/2018 0:26,Twitter Web Client,60,-1,detroitpolice
959139621702656000,2/1/2018 19:01,Twitter Web Client,59,0,detroitpolice
959087957020995000,2/1/2018 15:36,Twitter Web Client,20,0,detroitpolice
958763920055029000,1/31/2018 18:08,Twitter for iPhone,0,0,detroitpolice
958745784727556000,1/31/2018 16:56,Twitter for iPhone,4,0,detroitpolice
958735924384485000,1/31/2018 16:17,Twitter for iPhone,4,0,detroitpolice
958734896482193000,1/31/2018 16:13,Twitter for iPhone,4,0,detroitpolice
958734392515530000,1/31/2018 16:11,Twitter for iPhone,12,0,detroitpolice
958476676710780000,1/30/2018 23:07,Twitter for iPhone,0,0,detroitpolice
958470921135775000,1/30/2018 22:44,Twitter for iPhone,10,1,detroitpolice
958468781885526000,1/30/2018 22:35,Twitter for iPhone,7,1,detroitpolice
958374449262268000,1/30/2018 16:20,Google,11,0,detroitpolice
958368453672558000,1/30/2018 15:56,Twitter Web Client,117,0,detroitpolice
958225205213659000,1/30/2018 6:27,Twitter for Android,29,1,detroitpolice
958224764962820000,1/30/2018 6:26,Twitter for Android,20,-1,detroitpolice
958026295950135000,1/29/2018 17:17,Twitter for iPhone,22,-1,detroitpolice
958003870675980000,1/29/2018 15:48,Twitter for iPhone,18,-1,detroitpolice
957982544645025000,1/29/2018 14:23,Twitter for Android,264,0,detroitpolice
957976203138387000,1/29/2018 13:58,Twitter Web Client,4,0,detroitpolice
957784207329320000,1/29/2018 1:15,Twitter for Android,4,1,detroitpolice
957777542756405000,1/29/2018 0:48,Twitter for Android,4646,0,detroitpolice
957772585772699000,1/29/2018 0:29,Twitter for Android,0,0,detroitpolice
957770449022279000,1/29/2018 0:20,Twitter for Android,0,0,detroitpolice
956880310972665000,1/26/2018 13:23,Twitter Web Client,18,0,detroitpolice
956178677305413000,1/24/2018 14:55,Twitter Web Client,0,0,detroitpolice
955494977253117000,1/22/2018 17:38,Twitter Web Client,21,1,detroitpolice
954006076730560000,1/18/2018 15:02,Twitter Web Client,14,1,detroitpolice
953668566867378000,1/17/2018 16:41,Twitter for iPhone,40,0,detroitpolice
952211702124285000,1/13/2018 16:12,Twitter Web Client,13,1,detroitpolice
952171819783655000,1/13/2018 13:33,Twitter Web Client,16,1,detroitpolice
951662984794918000,1/12/2018 3:51,Twitter Web Client,19,0,detroitpolice
951471623281967000,1/11/2018 15:11,Twitter Web Client,16,0,detroitpolice
950534303741546000,1/9/2018 1:06,Twitter Web Client,5,1,detroitpolice
950472015722549000,1/8/2018 20:59,Twitter for Android,7,0,detroitpolice
950376244440281000,1/8/2018 14:38,Twitter for Android,8,0,detroitpolice
950225330207449000,1/8/2018 4:39,Twitter for Android,9,-1,detroitpolice
950137988486500000,1/7/2018 22:52,Twitter for Android,4,0,detroitpolice
949838480246525000,1/7/2018 3:01,Twitter for Android,0,1,detroitpolice
949486029475663000,1/6/2018 3:41,Twitter for iPhone,0,0,detroitpolice
949479378831933000,1/6/2018 3:14,Twitter for iPhone,10,1,detroitpolice
949336637070331000,1/5/2018 17:47,Twitter for iPhone,3,1,detroitpolice
949294943406841000,1/5/2018 15:02,Twitter Web Client,9,0,detroitpolice
948966772664827000,1/4/2018 17:18,Twitter for iPhone,0,1,detroitpolice
948950605149728000,1/4/2018 16:13,Twitter for iPhone,0,1,detroitpolice
948946053633642000,1/4/2018 15:55,Twitter for iPhone,0,0,detroitpolice
948945714851319000,1/4/2018 15:54,Twitter for iPhone,17,1,detroitpolice
946434785500639000,12/28/2017 17:36,Twitter for iPhone,0,0,detroitpolice
944280670397960000,12/22/2017 18:57,Twitter for Android,27,1,detroitpolice
944278374188507000,12/22/2017 18:48,Twitter for Android,18,0,detroitpolice
943520863693000000,12/20/2017 16:37,Twitter for Android,17,0,detroitpolice
941875894460788000,12/16/2017 3:41,Twitter for iPhone,64,1,detroitpolice
941695244092964000,12/15/2017 15:43,Twitter for iPhone,31,1,detroitpolice
941400262425698000,12/14/2017 20:11,Twitter for iPhone,20,1,detroitpolice
941008959980359000,12/13/2017 18:16,Twitter for iPhone,14,1,detroitpolice
940616697077170000,12/12/2017 16:17,Google,7,0,detroitpolice
940593029827715000,12/12/2017 14:43,Twitter Web Client,25,-1,detroitpolice
938780323139203000,12/7/2017 14:40,Twitter for iPhone,9,-1,detroitpolice
938617611704774000,12/7/2017 3:54,Twitter for iPhone,9,1,detroitpolice
938473635572076000,12/6/2017 18:22,Twitter for iPhone,0,1,detroitpolice
938116164412207000,12/5/2017 18:41,Twitter for iPhone,8,0,detroitpolice
938084263894843000,12/5/2017 16:34,Twitter for iPhone,9,1,detroitpolice
938047949187186000,12/5/2017 14:10,Twitter for Android,0,-1,detroitpolice
937757581682061000,12/4/2017 18:56,Twitter for iPhone,7,0,detroitpolice
937707728805552000,12/4/2017 15:38,Twitter for iPhone,21,1,detroitpolice
936290312221229000,11/30/2017 17:46,Twitter Web Client,13,1,detroitpolice
935532181677576000,11/28/2017 15:33,Twitter Web Client,0,0,detroitpolice
984749767401058000,4/13/2018 11:06,Twitter Web Client,10,0,WSUPD
982679623468232000,4/7/2018 18:00,Twitter Web Client,3,1,WSUPD
981905145133961000,4/5/2018 14:43,Twitter Web Client,0,1,WSUPD
981904857677385000,4/5/2018 14:42,Twitter Web Client,1,1,WSUPD
974621544084369000,3/16/2018 12:20,Twitter for Android,0,0,WSUPD
973333445287055000,3/12/2018 23:02,Twitter for Android,0,-1,WSUPD
964799616196726000,2/17/2018 9:52,Twitter Web Client,0,-1,WSUPD
961875727636295000,2/9/2018 8:13,Twitter Web Client,1,0,WSUPD
961874769166548000,2/9/2018 8:09,Twitter Web Client,0,0,WSUPD
961533444965748000,2/8/2018 9:33,Twitter Web Client,0,0,WSUPD
961261958287814000,2/7/2018 15:34,Twitter for Android,0,0,WSUPD
960256691723005000,2/4/2018 21:00,Twitter Web Client,7,1,WSUPD
956883016378445000,1/26/2018 13:34,Twitter Web Client,0,-1,WSUPD
956882549917315000,1/26/2018 13:32,Twitter Web Client,33,1,WSUPD
956241225031483000,1/24/2018 19:04,Twitter for Android,0,1,WSUPD
954451375177510000,1/19/2018 20:31,Twitter for Android,0,0,WSUPD
954312569556295000,1/19/2018 11:20,Twitter for Android,2,0,WSUPD
953000823906291000,1/15/2018 20:27,Twitter for Android,1,0,WSUPD
949451252030738000,1/6/2018 1:23,Twitter for Android,0,1,WSUPD
948585724479201000,1/3/2018 16:03,Twitter for Android,3,-1,WSUPD
947696710981074000,1/1/2018 5:11,Twitter Web Client,8,1,WSUPD
947584051430526000,12/31/2017 21:43,Twitter for Android,0,1,WSUPD
947144372419776000,12/30/2017 16:36,Twitter for Android,0,1,WSUPD
946411219212226000,12/28/2017 16:03,Twitter for Android,0,1,WSUPD
945505663203139000,12/26/2017 4:04,Twitter for Android,0,1,WSUPD
944296213146488000,12/22/2017 19:58,Twitter for Android,0,0,WSUPD
943586716258131000,12/20/2017 20:59,Twitter for Android,0,1,WSUPD
943585175262433000,12/20/2017 20:53,Twitter for Android,7,0,WSUPD
943139625626980000,12/19/2017 15:23,Twitter for Android,0,1,WSUPD
942612298455232000,12/18/2017 4:27,Twitter for Android,0,1,WSUPD
941941507715682000,12/16/2017 8:02,Twitter Web Client,13,0,WSUPD
941490646275231000,12/15/2017 2:10,Twitter for Android,0,0,WSUPD
941019349212688000,12/13/2017 18:57,Twitter for Android,0,1,WSUPD
941014436336340000,12/13/2017 18:38,Twitter for Android,0,0,WSUPD
940723844054224000,12/12/2017 23:23,Twitter for Android,0,1,WSUPD
940578423872917000,12/12/2017 13:45,Twitter for Android,4,-1,WSUPD
940312575870472000,12/11/2017 20:09,Twitter for Android,0,-1,WSUPD
939954827882385000,12/10/2017 20:27,Twitter for Android,0,1,WSUPD
939596701505130000,12/9/2017 20:44,Twitter for Android,0,1,WSUPD
939224401664409000,12/8/2017 20:05,Twitter for Android,0,1,WSUPD
938858674885447000,12/7/2017 19:52,Twitter for Android,0,0,WSUPD
938055433264226000,12/5/2017 14:40,Twitter for Android,8,0,WSUPD
938032325476143000,12/5/2017 13:08,Twitter for Android,6,-1,WSUPD
935289926186360000,11/27/2017 23:31,Twitter for Android,6,1,WSUPD
933389840892211000,11/22/2017 17:40,Twitter for Android,0,1,WSUPD
933104476751351000,11/21/2017 22:46,Twitter for Android,2,-1,WSUPD
930804515489701000,11/15/2017 14:27,Twitter for Android,0,1,WSUPD
930390897396781000,11/14/2017 11:04,Twitter for Android,1,-1,WSUPD
930159623541227000,11/13/2017 19:45,Twitter for Android,0,0,WSUPD
930159558017810000,11/13/2017 19:44,Twitter for Android,0,0,WSUPD
929379301333569000,11/11/2017 16:04,Twitter for Android,0,1,WSUPD
928878564782559000,11/10/2017 6:54,Twitter for Android,6,1,WSUPD
928700003710889000,11/9/2017 19:05,Twitter for Android,0,1,WSUPD
927993878678040000,11/7/2017 20:19,Twitter for Android,0,0,WSUPD
927964063447044000,11/7/2017 18:20,Twitter for Android,0,1,WSUPD
927898972127203000,11/7/2017 14:02,Twitter for Android,0,0,WSUPD
927898780409782000,11/7/2017 14:01,Twitter for Android,6,0,WSUPD
927786196163579000,11/7/2017 6:34,Twitter for Android,2,-1,WSUPD
927634934008893000,11/6/2017 20:32,Twitter for Android,0,1,WSUPD
927630575791497000,11/6/2017 20:15,Twitter for Android,0,-1,WSUPD
927615677539766000,11/6/2017 19:16,Twitter for Android,0,-1,WSUPD
927254305278701000,11/5/2017 19:20,Twitter for Android,0,1,WSUPD
926928151019704000,11/4/2017 21:44,Twitter for Android,4,1,WSUPD
926806091442348000,11/4/2017 13:39,Twitter for Android,0,0,WSUPD
926674061576503000,11/4/2017 4:54,Twitter for Android,0,0,WSUPD
926080603304415000,11/2/2017 13:36,Twitter for Android,0,1,WSUPD
925088900221194000,10/30/2017 19:55,Twitter for Android,3,-1,WSUPD
924308014550548000,10/28/2017 16:12,Twitter for Android,0,1,WSUPD
924154578609860000,10/28/2017 6:03,Twitter for Android,2,-1,WSUPD
924111350900518000,10/28/2017 3:11,Twitter for Android,0,0,WSUPD
923235678493822000,10/25/2017 17:11,Twitter for Android,4,0,WSUPD
923177437487300000,10/25/2017 13:20,Twitter for Android,7,0,WSUPD
922942562595426000,10/24/2017 21:47,Twitter for Android,0,-1,WSUPD
921266170933719000,10/20/2017 6:45,Twitter for Android,2,-1,WSUPD
920784747613376000,10/18/2017 22:52,Twitter for Android,0,0,WSUPD
920433476549169000,10/17/2017 23:36,Twitter for Android,0,-1,WSUPD
920304971991666000,10/17/2017 15:06,Twitter for Android,0,0,WSUPD
920088962034814000,10/17/2017 0:47,Twitter for Android,0,0,WSUPD
919947081447563000,10/16/2017 15:24,Twitter for Android,0,1,WSUPD
919226908927283000,10/14/2017 15:42,Twitter for Android,9,0,WSUPD
917904213023354000,10/11/2017 0:06,Twitter for Android,3,0,WSUPD
916020690473701000,10/5/2017 19:22,Twitter for Android,0,-1,WSUPD
915668419978113000,10/4/2017 20:02,Twitter for Android,6,1,WSUPD
915592755216297000,10/4/2017 15:01,Twitter for Android,2,1,WSUPD
915368376624656000,10/4/2017 0:10,Twitter for Android,0,0,WSUPD
914831855815397000,10/2/2017 12:38,Twitter for Android,2,-1,WSUPD
914828868074262000,10/2/2017 12:26,Twitter for Android,9,0,WSUPD
913975848448995000,9/30/2017 3:56,Twitter for Android,2,1,WSUPD
913474473776599000,9/28/2017 18:44,Twitter for Android,0,1,WSUPD
911324447264690000,9/22/2017 20:20,Twitter for Android,5,0,WSUPD
911166171453550000,9/22/2017 9:51,Twitter for Android,1,0,WSUPD
